booking_id,customer_id,event_name,event_category,venue,booking_date,event_date,ticket_price,tickets_booked,booking_status,payment_method
64,449,other,Movie,Morgan Bypass,2026-02-09,2026-04-17,37.18,2,Confirmed,UPI
65,190,share,Concert,Tanya Pine,2024-06-30,2025-09-15,217.66,8,Cancelled,Credit Card
66,369,allow,Concert,Sara Knoll,2025-08-19,2026-01-28,16.75,4,Pending,Debit Card
67,984,throughout,Concert,Joel Avenue,2025-10-05,2026-06-16,450.28,5,Confirmed,Wallet
68,707,concern,Stand-up Comedy,Johnson Route,2025-12-24,2026-06-04,417.97,9,Refunded,Net Banking
69,832,owner,Stand-up Comedy,Lawrence Spur,2024-07-06,2024-08-24,33.31,1,Confirmed,Wallet
70,334,weight,Sports,Zachary Crossing,2025-07-03,2025-09-30,400.11,9,Cancelled,UPI
71,425,reduce,Movie,Lauren Gardens,2025-08-01,2026-04-06,42.29,2,Confirmed,Wallet
72,84,cold,Sports,Sara Shores,2025-08-20,2026-01-09,90.15,6,Refunded,Credit Card
73,697,hand,Stand-up Comedy,Lisa Street,2025-10-16,2026-06-24,146.83,7,Pending,Credit Card
74,737,apply,Concert,Cohen Inlet,2024-09-13,2025-04-24,274.2,6,Pending,UPI
75,944,here,Sports,Nielsen Plain,2025-06-26,2026-01-26,129.21,9,Confirmed,Net Banking
76,161,energy,Movie,Alicia Loaf,2025-01-17,2026-01-27,447.18,3,Confirmed,Debit Card
77,113,interview,Stand-up Comedy,Kathy Fields,2025-11-09,2026-01-08,247.34,5,Confirmed,UPI
78,287,positive,Movie,Emily Loop,2024-08-13,2025-02-17,119.95,9,Confirmed,Wallet
79,524,provide,Concert,Odom Forest,2025-04-04,2025-10-08,44.23,7,Pending,Wallet
80,251,raise,Stand-up Comedy,Watson Ford,2024-12-06,2025-09-16,47.91,7,Confirmed,Net Banking
81,234,nor,Stand-up Comedy,Rivera Station,2025-07-24,2025-11-18,470.46,1,Refunded,Credit Card
82,706,its,Sports,Smith Square,2024-09-12,2026-06-02,408.93,4,Cancelled,UPI
83,689,system,Stand-up Comedy,Joseph Glens,2024-10-27,2025-10-03,54.87,9,Confirmed,Net Banking
84,227,until,Conference,Corey Course,2025-10-25,2026-03-04,344.3,7,Pending,Wallet
85,475,hit,Sports,Charles Trafficway,2025-09-07,2026-06-19,138.25,5,Cancelled,Net Banking
86,251,thank,Concert,Luis Summit,2025-12-09,2026-03-05,109.62,9,Cancelled,Debit Card
87,638,training,Movie,Diane Isle,2024-09-30,2026-02-15,327.27,8,Cancelled,Debit Card
88,925,meet,Stand-up Comedy,Crystal Wall,2025-01-23,2025-08-05,245.46,3,Confirmed,Debit Card
89,134,individual,Concert,James Tunnel,2025-01-20,2026-01-18,340.39,9,Cancelled,Wallet
90,519,hundred,Stand-up Comedy,Ortiz Harbors,2024-12-11,2025-02-16,254.56,7,Cancelled,UPI
91,984,drop,Movie,Melissa Walk,2025-11-24,2026-02-13,356.47,2,Refunded,Credit Card
92,645,employee,Movie,Dustin Forest,2025-04-22,2025-10-08,478.63,4,Confirmed,Net Banking
93,63,change,Movie,Samantha Canyon,2025-01-07,2025-12-29,274.18,5,Cancelled,Debit Card
94,175,size,Concert,Carolyn Stream,2025-03-05,2025-12-13,324.86,2,Pending,Wallet
95,351,book,Concert,Hardy Bypass,2025-03-21,2026-01-10,207.64,8,Confirmed,Wallet
96,370,news,Concert,Garcia Ville,2024-11-06,2026-02-22,337.03,4,Refunded,Credit Card
97,761,per,Sports,Julia Shoal,2024-09-10,2026-03-13,171.67,6,Confirmed,Debit Card
98,439,condition,Concert,Stacy Cliffs,2024-10-10,2025-11-18,479.42,8,Refunded,UPI
99,659,nation,Concert,Jackson Rapids,2024-12-30,2026-02-06,43.61,10,Refunded,Net Banking
100,913,ten,Movie,Anderson Knoll,2024-07-16,2025-06-09,330.48,7,Pending,Wallet
101,893,dark,Conference,John Cliffs,2025-09-24,2025-11-15,236.22,9,Refunded,Debit Card
102,725,detail,Conference,Oscar Ville,2026-02-05,2026-05-28,36.25,9,Confirmed,Wallet
103,378,organization,Conference,Adams Terrace,2025-03-16,2025-07-23,308.92,9,Confirmed,Debit Card
104,627,leader,Concert,Clinton Crossing,2025-01-17,2026-06-13,462.65,6,Confirmed,UPI
105,887,seven,Sports,Garrett Points,2025-06-02,2026-02-17,203.53,4,Pending,Debit Card
106,909,million,Conference,Jones Rest,2024-09-12,2025-10-16,340.59,10,Refunded,UPI
107,473,coach,Stand-up Comedy,Howard Spurs,2025-03-14,2026-02-06,396.02,3,Pending,UPI
108,1,nature,Sports,Miller Mills,2025-08-20,2025-10-01,203.75,5,Refunded,Debit Card
109,415,put,Movie,Kari Station,2024-07-09,2024-07-10,118.65,7,Cancelled,Credit Card
110,572,military,Stand-up Comedy,Dylan Track,2025-02-21,2025-07-11,167.89,10,Confirmed,UPI
111,33,card,Movie,Jessica Pines,2025-03-06,2025-08-08,474.14,8,Pending,Credit Card
112,193,until,Concert,Brown Fort,2025-11-25,2026-06-03,464.76,3,Cancelled,Wallet
113,688,west,Movie,Deborah Glens,2024-07-10,2024-09-24,277.87,2,Confirmed,UPI
114,393,student,Stand-up Comedy,Smith Mill,2025-09-30,2025-12-15,110.23,5,Pending,UPI
115,506,sometimes,Concert,Kayla Trace,2026-02-27,2026-05-26,125.25,4,Confirmed,Net Banking
116,472,see,Concert,Reyes Landing,2025-03-23,2026-02-13,172.74,8,Pending,Net Banking
117,649,rest,Movie,Alicia Alley,2024-07-26,2025-04-19,376.51,3,Pending,UPI
118,628,base,Conference,Angela Summit,2024-12-06,2025-06-23,483.41,3,Refunded,Net Banking
119,501,present,Stand-up Comedy,Henry Union,2024-09-19,2024-11-05,121.21,6,Pending,Debit Card
120,975,bad,Stand-up Comedy,Gomez Mission,2025-04-29,2025-05-15,41.12,8,Confirmed,Wallet
121,724,experience,Concert,Elizabeth Gateway,2025-03-28,2025-04-29,14.85,6,Pending,UPI
122,261,cover,Conference,Valdez Greens,2025-02-23,2025-12-16,128.49,1,Confirmed,Wallet
123,844,size,Conference,Flynn Stravenue,2025-05-23,2026-03-23,298.33,4,Confirmed,Net Banking
124,13,fall,Stand-up Comedy,Andrew Cape,2025-01-06,2025-01-22,112.06,4,Cancelled,Wallet
125,949,production,Sports,Stokes Tunnel,2024-12-24,2025-11-10,171.75,1,Pending,UPI
126,657,more,Conference,Rich Views,2025-02-25,2025-12-27,55.27,7,Pending,Net Banking
127,648,stuff,Conference,Santos Lakes,2025-03-15,2025-04-13,281.84,1,Confirmed,Credit Card
128,516,movement,Sports,Craig Trail,2024-10-24,2025-04-06,262.74,8,Refunded,Wallet
129,160,down,Stand-up Comedy,Kline Mountains,2025-09-20,2026-03-22,432.93,6,Refunded,Net Banking
130,357,realize,Movie,Smith Viaduct,2024-10-19,2025-12-20,428.84,9,Confirmed,Net Banking
131,14,couple,Sports,Davis Centers,2024-12-01,2026-02-18,84.44,10,Pending,Credit Card
132,831,around,Sports,Jamie Fields,2024-11-29,2025-05-20,216.25,7,Refunded,Credit Card
133,936,indicate,Conference,David Knolls,2024-07-29,2025-09-30,38.81,7,Cancelled,Debit Card
134,493,from,Stand-up Comedy,Robert Stravenue,2024-10-20,2025-02-06,126.94,7,Pending,UPI
135,256,field,Sports,Cody Rue,2025-01-14,2025-06-06,22.7,10,Pending,Net Banking
136,597,fact,Movie,Vaughn Alley,2026-04-18,2026-06-25,230.52,1,Pending,Net Banking
137,672,writer,Movie,Pena Loaf,2025-10-24,2026-02-20,351.86,2,Refunded,UPI
138,323,reflect,Conference,Mitchell Run,2024-11-25,2025-05-13,488.93,7,Confirmed,Debit Card
139,115,success,Concert,Keith Islands,2025-07-28,2025-09-09,188.56,9,Cancelled,Credit Card
140,667,first,Concert,Donald Field,2025-01-04,2025-03-25,113.58,8,Pending,Credit Card
141,637,record,Conference,Annette Cove,2025-03-26,2025-08-28,320.79,4,Pending,Debit Card
142,920,money,Movie,Debra Isle,2025-04-07,2026-04-08,289.11,1,Cancelled,Wallet
143,783,firm,Sports,Alexander Shore,2024-09-16,2026-06-24,489.82,10,Cancelled,Credit Card
144,668,character,Stand-up Comedy,Rosario Curve,2025-07-19,2026-03-06,65.46,9,Refunded,Wallet
145,739,student,Concert,Mcintosh Orchard,2024-12-25,2025-04-16,347.16,9,Refunded,Net Banking
146,525,wear,Stand-up Comedy,Leah Rapids,2025-12-22,2026-05-31,206.55,6,Confirmed,Net Banking
147,546,five,Movie,Earl Centers,2025-02-16,2025-04-08,187.71,2,Pending,Wallet
148,6,bank,Concert,Lee Heights,2025-10-25,2026-02-21,265.11,4,Cancelled,Debit Card
149,295,sign,Sports,Chad Bridge,2025-11-04,2026-06-07,422.98,1,Cancelled,Credit Card
150,197,once,Conference,Kevin Circles,2025-08-22,2025-11-09,341.73,6,Cancelled,Credit Card
151,324,manager,Sports,Acevedo Club,2026-04-24,2026-05-14,227.58,10,Cancelled,Credit Card
152,135,not,Concert,Thomas Springs,2026-01-24,2026-04-15,201.39,4,Pending,UPI
153,7,learn,Sports,John Vista,2024-11-13,2026-04-28,164.81,9,Refunded,Net Banking
154,781,worker,Concert,Cunningham Knolls,2026-05-23,2026-05-28,166.24,6,Confirmed,Net Banking
155,718,break,Sports,Phillips Creek,2025-02-20,2025-06-10,392.7,9,Pending,Net Banking
156,197,read,Movie,Heather Mews,2026-03-16,2026-05-30,399.73,4,Confirmed,UPI
157,294,gun,Conference,Katherine Loop,2025-08-01,2025-11-04,16.25,1,Pending,Net Banking
158,790,phone,Conference,Matthew Loaf,2024-07-15,2026-03-20,140.01,3,Confirmed,Credit Card
159,284,some,Conference,David Mountains,2025-11-22,2025-12-10,97.7,10,Confirmed,UPI
160,271,near,Stand-up Comedy,Hughes Mill,2024-12-02,2025-10-04,270.52,4,Pending,Wallet
161,433,account,Sports,Jennings Radial,2025-08-13,2025-09-21,466.17,5,Refunded,Net Banking
162,858,group,Concert,Morrison Cliffs,2024-09-01,2024-12-22,114.53,4,Confirmed,UPI
163,302,simply,Stand-up Comedy,Davenport Dam,2025-05-19,2026-05-21,241.28,6,Confirmed,Credit Card
164,339,themselves,Sports,Amanda Street,2025-02-11,2026-04-04,116.86,6,Refunded,UPI
165,31,interesting,Movie,Erik Divide,2026-02-19,2026-02-28,138.35,7,Confirmed,Debit Card
166,670,citizen,Conference,Gates Parks,2026-01-13,2026-01-28,481.53,9,Cancelled,Debit Card
167,900,baby,Concert,Bradley Mews,2025-03-16,2026-04-16,114.1,8,Confirmed,Debit Card
168,411,ground,Conference,Ann Greens,2026-02-22,2026-06-23,130.22,4,Confirmed,Debit Card
169,871,several,Movie,Valerie Pines,2025-10-01,2026-05-03,187.15,10,Confirmed,UPI
170,622,suggest,Sports,Banks Club,2025-04-25,2026-01-19,75.81,8,Cancelled,Wallet
171,702,significant,Conference,Roach Terrace,2024-08-07,2025-04-17,273.94,9,Cancelled,Credit Card
172,732,change,Sports,Justin Haven,2025-07-11,2025-09-27,273.05,9,Refunded,Wallet
173,452,media,Conference,Sloan Station,2026-03-30,2026-04-19,273.44,4,Refunded,Debit Card
174,817,late,Sports,Adams Junction,2024-11-30,2025-11-08,328.95,5,Cancelled,UPI
175,712,his,Stand-up Comedy,David Gateway,2024-10-05,2026-06-12,339.95,3,Confirmed,Net Banking
176,684,bring,Stand-up Comedy,Corey Circles,2025-04-05,2026-03-10,129.86,4,Confirmed,Net Banking
177,685,many,Stand-up Comedy,Hicks Village,2024-09-08,2024-12-30,85.81,5,Pending,Debit Card
178,213,foreign,Concert,Ball Lakes,2025-03-16,2026-05-19,259.05,9,Refunded,Wallet
179,54,court,Conference,Wheeler Parks,2025-11-05,2026-06-20,485.48,9,Cancelled,UPI
180,365,today,Concert,Michael Underpass,2025-02-19,2025-03-30,86.09,5,Cancelled,Wallet
181,951,strategy,Concert,Beasley Branch,2024-10-31,2026-04-18,152.59,6,Refunded,UPI
182,784,before,Conference,Mills Parks,2025-11-10,2025-12-14,108.97,5,Confirmed,Wallet
183,536,along,Sports,Randall River,2025-10-25,2026-02-27,106.7,4,Confirmed,Credit Card
184,158,movement,Sports,Daniel Terrace,2025-08-04,2026-01-15,41.65,3,Pending,Wallet
185,840,professor,Sports,Franklin Unions,2025-03-16,2025-12-14,43.6,1,Refunded,Wallet
186,529,lay,Movie,Willie Spurs,2024-12-23,2026-05-13,271.33,7,Refunded,Net Banking
187,893,black,Conference,Sheila Station,2024-09-04,2026-01-31,437.86,9,Pending,Wallet
188,799,purpose,Conference,Mckee Circles,2025-08-28,2026-02-03,254.41,7,Refunded,Net Banking
189,978,view,Stand-up Comedy,Kathryn Mountain,2025-01-03,2025-01-12,99.35,4,Pending,Credit Card
190,144,five,Concert,Duke Green,2025-01-28,2025-10-20,219.9,7,Cancelled,Wallet
191,565,half,Sports,Cody Vista,2025-02-06,2025-04-26,130.43,10,Confirmed,UPI
192,494,control,Concert,Samantha Key,2024-11-02,2025-04-04,450.44,4,Confirmed,Net Banking
193,41,morning,Sports,David Rapids,2025-04-21,2025-07-13,317.26,4,Pending,Credit Card
194,183,finish,Movie,Harrell Orchard,2024-11-12,2026-01-08,320.48,5,Refunded,UPI
195,424,deal,Conference,Dorsey Prairie,2026-01-13,2026-05-17,298.34,1,Pending,Wallet
196,180,be,Concert,Williams Forest,2025-11-03,2025-11-29,466.15,9,Refunded,Wallet
197,988,police,Concert,Samantha Brook,2024-10-27,2025-05-06,498.09,8,Confirmed,Wallet
198,987,past,Conference,Harvey Alley,2024-07-21,2026-03-20,164.56,3,Cancelled,UPI
199,449,notice,Concert,Williams Landing,2025-01-19,2025-10-16,480.2,9,Refunded,Net Banking
200,288,stop,Concert,Robertson Burgs,2024-07-12,2025-02-24,182.42,8,Cancelled,Credit Card
201,20,treat,Concert,Jones Road,2025-03-21,2025-12-08,202.55,2,Refunded,Net Banking
202,78,cover,Movie,Jodi Greens,2024-07-30,2024-10-31,49.51,6,Refunded,UPI
203,662,cut,Sports,Wood Circle,2026-03-16,2026-03-31,80.7,8,Confirmed,Credit Card
204,86,message,Stand-up Comedy,Christy Mission,2024-08-04,2026-03-30,359.63,8,Refunded,Debit Card
205,442,expert,Movie,Beth Ridge,2024-07-17,2024-10-30,345.66,9,Refunded,UPI
206,942,travel,Stand-up Comedy,Troy Mission,2024-07-12,2025-06-23,117.67,4,Refunded,Net Banking
207,760,share,Movie,Alicia Way,2025-05-01,2026-05-14,87.41,4,Pending,Wallet
208,80,stand,Sports,Baker Estates,2024-08-12,2024-10-26,46.94,6,Cancelled,Wallet
209,148,treat,Movie,Foster Fort,2024-11-07,2025-10-21,160.08,5,Confirmed,Wallet
210,259,finish,Concert,Rebecca Ramp,2025-02-22,2026-06-08,152.16,6,Confirmed,Net Banking
211,307,one,Conference,Aaron Points,2024-11-27,2025-11-02,479.41,4,Refunded,Net Banking
212,704,ball,Conference,Williams Brook,2025-02-06,2025-02-08,121.29,10,Confirmed,Wallet
213,543,democratic,Sports,Blair Ridge,2024-12-01,2025-02-23,104.78,8,Refunded,UPI
214,569,improve,Stand-up Comedy,Miller Mount,2024-11-16,2025-06-17,324.22,3,Confirmed,Net Banking
215,462,allow,Conference,Erin Walks,2024-10-15,2025-03-08,52.47,10,Confirmed,Wallet
216,859,name,Conference,Davis Square,2025-02-15,2026-06-09,93.24,5,Pending,Debit Card
217,53,gas,Stand-up Comedy,Susan Motorway,2025-04-24,2025-06-26,426.52,2,Cancelled,Wallet
218,692,strong,Movie,Kenneth Isle,2025-02-13,2025-07-04,151.94,3,Pending,Net Banking
219,399,pick,Movie,Jones Field,2025-08-24,2026-06-26,214.44,9,Cancelled,Wallet
220,880,behind,Sports,Heather Ridge,2024-12-08,2025-11-28,365.58,10,Refunded,Net Banking
221,461,check,Conference,Duane Ridges,2024-11-09,2025-09-23,258.5,9,Refunded,UPI
222,382,participant,Movie,Reynolds View,2024-10-23,2025-05-07,297.63,4,Cancelled,Net Banking
223,757,write,Movie,Castillo Row,2025-04-04,2025-11-12,439.22,3,Refunded,Wallet
224,779,American,Sports,Johnson Valleys,2025-07-25,2026-04-11,201.47,7,Refunded,Net Banking
225,173,leader,Concert,Robert Forge,2024-08-20,2024-09-29,127.58,5,Confirmed,Net Banking
226,1000,family,Stand-up Comedy,Mcintosh Orchard,2024-08-06,2026-01-13,99.96,5,Pending,Net Banking
227,318,dream,Conference,Rebecca Court,2024-09-03,2025-04-06,378.1,6,Confirmed,Credit Card
228,66,contain,Stand-up Comedy,Keller Village,2025-08-04,2025-10-27,451.43,4,Refunded,Net Banking
229,728,interview,Movie,Davis Loaf,2026-01-23,2026-06-07,107.63,6,Pending,Wallet
230,844,decade,Conference,Olsen Court,2025-07-12,2026-02-12,213.25,5,Pending,Wallet
231,191,under,Concert,Aaron Passage,2025-06-30,2025-07-06,309.75,7,Confirmed,Credit Card
232,836,despite,Conference,Cox Valley,2025-06-06,2026-05-02,234.83,7,Refunded,Net Banking
233,557,cover,Conference,Janice Valley,2025-03-15,2025-03-30,158.34,8,Pending,Wallet
234,726,art,Stand-up Comedy,Robert Springs,2024-11-22,2026-06-06,273.77,2,Confirmed,Credit Card
235,592,read,Movie,Case Walks,2025-05-05,2025-05-22,499.81,4,Pending,Wallet
236,141,officer,Stand-up Comedy,Laura Underpass,2025-01-01,2025-02-14,174.32,8,Refunded,Net Banking
237,635,check,Concert,Christopher Summit,2024-11-29,2026-02-06,42.69,6,Cancelled,UPI
238,58,activity,Concert,Proctor Shore,2024-09-02,2026-01-25,115.48,6,Pending,UPI
239,937,morning,Stand-up Comedy,Hernandez Trail,2024-09-08,2026-03-06,150.75,9,Cancelled,Net Banking
240,553,hit,Sports,Nicholas Islands,2024-09-13,2025-11-19,362.99,8,Refunded,UPI
241,622,drop,Stand-up Comedy,Drake Skyway,2024-08-01,2026-05-27,53.72,5,Cancelled,Wallet
242,271,weight,Concert,Henderson Court,2024-11-26,2025-10-04,309.65,8,Confirmed,Net Banking
243,635,major,Concert,Kristin Row,2024-07-24,2025-12-14,329.69,6,Refunded,Credit Card
244,177,after,Conference,Heather Mountain,2025-05-09,2026-03-02,175.82,7,Refunded,Wallet
245,971,quickly,Sports,Rodriguez Shoals,2024-07-13,2025-04-23,479.08,4,Pending,UPI
246,178,raise,Movie,Brian Causeway,2025-04-12,2026-04-29,389.36,8,Refunded,Credit Card
247,308,realize,Movie,Erin Place,2024-09-20,2025-08-31,338.3,8,Confirmed,UPI
248,634,year,Concert,Hernandez Knolls,2024-09-15,2025-05-28,451.25,6,Confirmed,UPI
249,438,nor,Concert,Harding Ranch,2025-01-16,2025-08-10,404.63,8,Refunded,Wallet
250,206,and,Concert,Jonathan Fort,2025-12-16,2026-03-07,129.86,4,Pending,Wallet
251,797,prepare,Movie,Erica Walks,2025-02-09,2025-05-19,454.36,1,Refunded,Debit Card
252,335,teacher,Conference,Hernandez Burg,2025-01-10,2026-02-06,346.24,6,Confirmed,UPI
253,48,draw,Movie,Shannon Shores,2026-01-06,2026-06-17,313.3,7,Pending,Net Banking
254,703,watch,Conference,Williams Crossing,2024-12-21,2025-07-21,17.13,5,Cancelled,Net Banking
255,165,amount,Movie,Thomas Rest,2025-03-25,2025-05-07,412.73,9,Pending,UPI
256,195,big,Concert,Lisa Prairie,2025-07-17,2025-09-16,65.43,10,Confirmed,UPI
257,151,student,Concert,Christopher Lake,2024-06-30,2026-01-28,118.09,7,Confirmed,Debit Card
258,449,price,Stand-up Comedy,Curtis Drive,2025-03-04,2025-05-09,53.64,4,Refunded,Debit Card
259,150,example,Sports,Luke Track,2025-01-07,2025-07-04,152.97,4,Confirmed,Credit Card
260,435,as,Conference,Moore Land,2025-08-19,2025-08-24,431.48,8,Pending,UPI
261,159,somebody,Conference,Samuel Spur,2025-01-14,2026-03-09,473.96,3,Confirmed,Net Banking
262,221,involve,Stand-up Comedy,Davis Gateway,2025-03-29,2025-04-08,358.56,4,Cancelled,Debit Card
263,594,word,Conference,Armstrong Rest,2024-09-14,2025-07-04,374.73,10,Refunded,UPI
264,714,station,Stand-up Comedy,Khan Hill,2025-03-24,2026-01-01,123.76,8,Pending,UPI
265,592,give,Conference,Murphy Freeway,2024-11-19,2026-01-01,37.5,4,Cancelled,Debit Card
266,299,situation,Concert,Leonard Prairie,2024-10-15,2024-12-30,97.43,2,Confirmed,UPI
267,71,heavy,Movie,Hawkins Ville,2024-10-14,2025-10-15,321.93,7,Pending,Debit Card
268,665,the,Sports,Hernandez Square,2024-09-03,2024-12-19,186.75,5,Confirmed,Wallet
269,576,arrive,Concert,Gonzales Wall,2025-02-13,2025-09-22,70.88,5,Pending,Wallet
270,393,could,Concert,Kyle Glen,2024-12-22,2025-03-09,225.0,7,Cancelled,Credit Card
271,362,safe,Movie,Amanda Manor,2025-12-22,2026-01-25,480.52,8,Confirmed,Credit Card
272,170,before,Conference,Lori Terrace,2025-01-27,2026-05-17,471.79,4,Refunded,Wallet
273,566,man,Concert,Janice Station,2025-01-13,2025-10-31,41.13,8,Cancelled,Net Banking
274,500,military,Concert,Veronica Circles,2024-08-05,2025-08-07,435.24,5,Refunded,Net Banking
275,171,perform,Stand-up Comedy,Weber Place,2025-12-25,2026-03-07,331.61,5,Refunded,Net Banking
276,376,happen,Sports,West Bypass,2024-11-12,2025-10-09,74.32,9,Confirmed,Debit Card
277,361,agent,Sports,Amanda Cliff,2024-09-01,2025-02-23,61.43,5,Cancelled,Wallet
